# Time in s;Angular velocity in rad/s
0.000000000000000000e+00;7.756121526275527867e-01
1.000000000000000056e-01;8.618559613686784804e-01
2.000000000000000111e-01;9.265054705160904458e-01
2.999999999999999889e-01;9.719969323855914833e-01
4.000000000000000222e-01;1.000766599292984393e+00
5.000000000000000000e-01;1.015250723554072199e+00
5.999999999999999778e-01;1.017885557484657477e+00
6.999999999999999556e-01;1.011107353400543030e+00
8.000000000000000444e-01;9.973523636175319895e-01
9.000000000000000222e-01;9.790568404514270462e-01
1.000000000000000000e+00;9.586570362180307781e-01
1.100000000000000089e+00;9.385892032331465407e-01
1.199999999999999956e+00;9.212895938125754691e-01
1.300000000000000044e+00;9.393653712899218133e-01
1.399999999999999911e+00;9.688770866989834252e-01
1.500000000000000000e+00;1.000440038253391339e+00
1.600000000000000089e+00;1.059730248338973668e+00
1.699999999999999956e+00;1.109641685066352190e+00
1.800000000000000044e+00;1.132981906754876755e+00
1.900007999999999919e+00;1.161841495065706775e+00
2.000000000000000000e+00;1.185727132145479645e+00
2.100000000000000089e+00;1.222910233601011365e+00
2.200000000000000178e+00;1.264071310355754818e+00
2.299999999999999822e+00;1.304141556328002105e+00
2.399999999999999911e+00;1.360040705502779224e+00
2.500000000000000000e+00;1.427002301634830550e+00
2.600000000000000089e+00;1.495671285078615576e+00
2.700000000000000178e+00;1.584882272116695079e+00
2.799999999999999822e+00;1.661655416863049073e+00
2.899999999999999911e+00;1.757784879570548853e+00
3.000000000000000000e+00;1.819138182657809244e+00
3.100000000000000089e+00;1.886579981471285583e+00
3.200000000000000178e+00;1.914745943686724683e+00
3.299999999999999822e+00;1.932199236206667781e+00
3.399999999999999911e+00;1.927118573268627122e+00
3.500000000000000000e+00;2.001609273171169878e+00
3.600000000000000089e+00;2.074600080747780684e+00
3.700000000000000178e+00;2.124434447909004486e+00
3.799999999999999822e+00;2.171784803668782349e+00
3.899999999999999911e+00;2.217611553389964740e+00
4.000000000000000000e+00;2.276878049762883993e+00
4.099999999999999645e+00;2.305002512981161988e+00
4.200000000000000178e+00;2.328994861767918589e+00
4.299999999999999822e+00;2.350390559018079362e+00
4.400000000000000355e+00;2.371406836865633583e+00
4.500000000000000000e+00;2.406769910874281493e+00
4.599999999999999645e+00;2.458554730902034802e+00
4.700000000000000178e+00;2.534148118443405373e+00
4.799999999999999822e+00;2.626299605851693642e+00
4.900000000000000355e+00;2.738299470758883469e+00
5.000000000000000000e+00;2.876532630299480253e+00
5.100004000000000204e+00;3.006548988402359512e+00
5.200000000000000178e+00;3.135836149840852460e+00
5.299999999999999822e+00;3.256527090439019112e+00
5.400000000000000355e+00;3.366197083077073327e+00
5.500000000000000000e+00;3.471651963289284382e+00
5.599999999999999645e+00;3.575784804020536445e+00
5.700000000000000178e+00;3.682206018023764127e+00
5.799999999999999822e+00;3.784886393854407949e+00
5.900000000000000355e+00;3.882124472628901923e+00
6.000000000000000000e+00;3.995084742898940888e+00
6.099999999999999645e+00;4.109313696796450976e+00
6.200000000000000178e+00;4.222202825928502712e+00
6.299999999999999822e+00;4.336989052073591644e+00
6.400000000000000355e+00;4.451632995942701676e+00
6.500000000000000000e+00;4.563952995970841364e+00
6.599999999999999645e+00;4.675306662207967534e+00
6.700000000000000178e+00;4.783215911680797738e+00
6.799999999999999822e+00;4.900770713779285970e+00
6.900000000000000355e+00;5.018076521894815123e+00
7.000000000000000000e+00;5.165392033385327153e+00
7.099999999999999645e+00;5.307727665216618540e+00
7.200000000000000178e+00;5.447703782637943526e+00
7.299999999999999822e+00;5.599513042678088581e+00
7.400000000000000355e+00;5.744522395612128740e+00
7.500000000000000000e+00;5.886786886305429789e+00
7.599999999999999645e+00;6.036746476757862467e+00
7.700000000000000178e+00;6.182419813646464313e+00
7.799999999999999822e+00;6.337620134597413468e+00
7.900000000000000355e+00;6.488451203990212690e+00
8.000000000000000000e+00;6.655668448833122142e+00
8.099999999999999645e+00;6.818279304991245127e+00
8.199999999999999289e+00;6.981702355808077520e+00
8.300008000000000052e+00;7.155482370630461553e+00
8.400000000000000355e+00;7.343810748171575753e+00
8.500000000000000000e+00;7.531315074197650894e+00
8.599999999999999645e+00;7.728091461874945445e+00
8.699999999999999289e+00;7.930339788749219743e+00
8.800000000000000711e+00;8.141190264891983830e+00
8.900000000000000355e+00;8.376003447680679059e+00
9.000000000000000000e+00;8.612672228485250159e+00
9.099999999999999645e+00;8.863444739896118918e+00
9.199999999999999289e+00;9.130431502340289995e+00
9.300000000000000711e+00;9.413205668989832020e+00
9.400000000000000355e+00;9.718567146950851665e+00
9.500000000000000000e+00;1.003011197548873845e+01
9.599999999999999645e+00;1.035786512663176318e+01
9.699999999999999289e+00;1.069228775946125154e+01
9.800000000000000711e+00;1.103626701849390734e+01
9.900000000000000355e+00;1.138137267887805848e+01
1.000000000000000000e+01;1.173384144704406040e+01
1.009999999999999964e+01;1.208194096365190440e+01
1.019999999999999929e+01;1.243462908366004349e+01
1.030000000000000071e+01;1.277780207646216049e+01
1.040000000000000036e+01;1.312476333486218394e+01
1.050000000000000000e+01;1.345536213152476535e+01
1.059999999999999964e+01;1.378354212949572499e+01
1.069999999999999929e+01;1.409203974595641640e+01
1.080000000000000071e+01;1.439173957501915346e+01
1.090000000000000036e+01;1.469140383351289714e+01
1.100000000000000000e+01;1.498002935876202457e+01
1.109999999999999964e+01;1.525865362569554939e+01
1.119999999999999929e+01;1.553437296282785773e+01
1.130000000000000071e+01;1.580783949725718784e+01
1.140000000000000036e+01;1.606952031649302270e+01
1.150000799999999934e+01;1.634049098266457278e+01
1.159999999999999964e+01;1.661545148099166980e+01
1.169999999999999929e+01;1.687447636440925436e+01
1.180000000000000071e+01;1.714069243119188002e+01
1.190000000000000036e+01;1.740919094281831292e+01
1.200000000000000000e+01;1.767006549582360364e+01
1.209999999999999964e+01;1.793275414784762489e+01
1.219999999999999929e+01;1.820162615044849375e+01
1.230000000000000071e+01;1.844770334675209966e+01
1.240000000000000036e+01;1.871397276938821719e+01
1.250000000000000000e+01;1.897833323815496698e+01
1.259999999999999964e+01;1.922620674819279429e+01
1.269999999999999929e+01;1.947776774054970517e+01
1.280000000000000071e+01;1.973996433303596021e+01
1.290000000000000036e+01;1.998353380422545200e+01
1.300000000000000000e+01;2.023406917850969577e+01
1.309999999999999964e+01;2.047931046644191966e+01
1.319999999999999929e+01;2.073160658389139144e+01
1.330000000000000071e+01;2.098341657023126317e+01
1.340000000000000036e+01;2.121753612692456770e+01
1.350000000000000000e+01;2.146339989981419905e+01
1.359999999999999964e+01;2.170972609010076582e+01
1.369999999999999929e+01;2.194527439798200419e+01
1.380000000000000071e+01;2.218389363165310257e+01
1.390000000000000036e+01;2.241927001511754725e+01
1.400000000000000000e+01;2.266281577259437441e+01
1.409999999999999964e+01;2.289611127777264343e+01
1.419999999999999929e+01;2.314734027815227435e+01
1.430000000000000071e+01;2.339936961633427970e+01
1.440000000000000036e+01;2.363702844464253516e+01
1.450000000000000000e+01;2.390269316760574014e+01
1.459999999999999964e+01;2.416515653935945451e+01
1.470000399999999985e+01;2.443230336936409941e+01
1.480000000000000071e+01;2.471916815144800950e+01
1.490000000000000036e+01;2.500647756564434232e+01
1.500000000000000000e+01;2.529760488757941417e+01
1.509999999999999964e+01;2.560667756157219088e+01
1.519999999999999929e+01;2.592083682693116486e+01
1.530000000000000071e+01;2.623568971838553310e+01
1.540000000000000036e+01;2.657158260140012374e+01
1.550000000000000000e+01;2.690609416065209558e+01
1.559999999999999964e+01;2.725552164516907183e+01
1.569999999999999929e+01;2.760948437723283533e+01
1.580000000000000071e+01;2.797317565991659194e+01
1.590000000000000036e+01;2.835998188401856623e+01
1.600000000000000000e+01;2.875292995970024634e+01
1.610000000000000142e+01;2.916394195600294736e+01
1.619999999999999929e+01;2.959377078330370736e+01
1.630000000000000071e+01;3.004095804827376526e+01
1.639999999999999858e+01;3.051067926870180003e+01
1.650000000000000000e+01;3.099985759036981037e+01
1.660000000000000142e+01;3.152096642613849298e+01
1.669999999999999929e+01;3.206052453035896832e+01
1.680000000000000071e+01;3.261832440804543154e+01
1.689999999999999858e+01;3.321639609826176809e+01
1.700000000000000000e+01;3.382790160670169399e+01
1.710000000000000142e+01;3.447058471886523279e+01
1.719999999999999929e+01;3.512960657905357209e+01
1.730000000000000071e+01;3.580356214979139651e+01
1.739999999999999858e+01;3.649855771208945754e+01
1.750000000000000000e+01;3.721059750536402078e+01
1.760000000000000142e+01;3.792713104718821882e+01
1.769999999999999929e+01;3.864703786463872603e+01
1.780000000000000071e+01;3.937328217179840095e+01
1.790000399999999914e+01;4.010422772249349777e+01
1.800000000000000000e+01;4.082929820087635875e+01
1.810000000000000142e+01;4.154676250592256537e+01
1.819999999999999929e+01;4.226757044445427169e+01
1.830000000000000071e+01;4.297846012266467142e+01
1.839999999999999858e+01;4.367688824487068899e+01
1.850000000000000000e+01;4.435839070466351330e+01
1.860000000000000142e+01;4.501881760232711827e+01
1.869999999999999929e+01;4.566703786639747875e+01
1.880000000000000071e+01;4.628942796894969547e+01
