# Time in s;Static pressure in hPa;Temperature in C;Differential pressure voltage as digital value in -
0.000000000000000000e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
4.203599999999999698e-02;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
8.410399999999999820e-02;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.261559999999999904e-01;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.682160000000000044e-01;1.010289978027343750e+03;2.639999961853027344e+01;1.480000000000000000e+02
2.102880000000000027e-01;1.010270019531250000e+03;2.639999961853027344e+01;1.480000000000000000e+02
2.523560000000000247e-01;1.010260009765625000e+03;2.639999961853027344e+01;1.470000000000000000e+02
2.944120000000000070e-01;1.010250000000000000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.364719999999999933e-01;1.010280029296875000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.785240000000000271e-01;1.010260009765625000e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.205760000000000054e-01;1.010280029296875000e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.626359999999999917e-01;1.010210021972656250e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.046840000000000215e-01;1.010260009765625000e+03;2.639999961853027344e+01;1.520000000000000000e+02
5.467279999999999918e-01;1.010150024414062500e+03;2.639999961853027344e+01;1.520000000000000000e+02
5.887759999999999661e-01;1.010260009765625000e+03;2.639999961853027344e+01;1.510000000000000000e+02
6.308200000000000474e-01;1.010190002441406250e+03;2.639999961853027344e+01;1.500000000000000000e+02
6.728760000000000296e-01;1.010200012207031250e+03;2.639999961853027344e+01;1.520000000000000000e+02
7.149240000000000039e-01;1.010200012207031250e+03;2.639999961853027344e+01;1.530000000000000000e+02
7.569839999999999902e-01;1.010250000000000000e+03;2.639999961853027344e+01;1.520000000000000000e+02
7.990359999999999685e-01;1.010190002441406250e+03;2.639999961853027344e+01;1.520000000000000000e+02
8.410879999999999468e-01;1.010150024414062500e+03;2.639999961853027344e+01;1.520000000000000000e+02
8.831520000000000481e-01;1.010250000000000000e+03;2.639999961853027344e+01;1.530000000000000000e+02
9.252120000000000344e-01;1.010190002441406250e+03;2.639999961853027344e+01;1.520000000000000000e+02
9.672720000000000207e-01;1.010260009765625000e+03;2.639999961853027344e+01;1.520000000000000000e+02
1.009324000000000110e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.520000000000000000e+02
1.051392000000000104e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.510000000000000000e+02
1.093452000000000091e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.530000000000000000e+02
1.135504000000000069e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.520000000000000000e+02
1.177535999999999916e+00;1.010150024414062500e+03;2.639999961853027344e+01;1.510000000000000000e+02
1.219575999999999993e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.500000000000000000e+02
1.261616000000000071e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.500000000000000000e+02
1.303684000000000065e+00;1.010169982910156250e+03;2.639999961853027344e+01;1.500000000000000000e+02
1.345736000000000043e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.510000000000000000e+02
1.387796000000000030e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.520000000000000000e+02
1.429859999999999909e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.510000000000000000e+02
1.471912000000000109e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.513967999999999980e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.480000000000000000e+02
1.556035999999999975e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.598092000000000068e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.480000000000000000e+02
1.640144000000000046e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.682212000000000041e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.724256000000000011e+00;1.010210021972656250e+03;2.639999961853027344e+01;1.480000000000000000e+02
1.766324000000000005e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.480000000000000000e+02
1.808367999999999975e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.480000000000000000e+02
1.850408000000000053e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.892471999999999932e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.934520000000000017e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.490000000000000000e+02
1.976588000000000012e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.480000000000000000e+02
2.018639999999999990e+00;1.010150024414062500e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.060687999999999853e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.102743999999999946e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.490000000000000000e+02
2.144807999999999826e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
2.186863999999999919e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.228924000000000127e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.270988000000000007e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.313035999999999870e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.355087999999999848e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.397148000000000057e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.439195999999999920e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.481259999999999799e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.523308000000000106e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.565364000000000200e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.607423999999999964e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.649475999999999942e+00;1.010210021972656250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.691548000000000052e+00;1.010280029296875000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.733607999999999816e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.775663999999999909e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.817720000000000002e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.859811999999999799e+00;1.010159973144531250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.901927999999999841e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.944027999999999867e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.986136000000000124e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.480000000000000000e+02
3.028227999999999920e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.070332000000000061e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.112452000000000218e+00;1.010280029296875000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.154544000000000015e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.196623999999999910e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.238719999999999821e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.480000000000000000e+02
3.280812000000000062e+00;1.010210021972656250e+03;2.639999961853027344e+01;1.470000000000000000e+02
3.322912000000000088e+00;1.010179992675781250e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.365007999999999999e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.407112000000000140e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.449212000000000167e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.491303999999999963e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.510000000000000000e+02
3.533403999999999989e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.520000000000000000e+02
3.575504000000000016e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.617611999999999828e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.659704000000000068e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.701788000000000078e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.480000000000000000e+02
3.743892000000000220e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.470000000000000000e+02
3.785995999999999917e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.828091999999999828e+00;1.010280029296875000e+03;2.639999961853027344e+01;1.490000000000000000e+02
3.870191999999999855e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.470000000000000000e+02
3.912288000000000210e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.480000000000000000e+02
3.954372000000000220e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.500000000000000000e+02
3.996459999999999901e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.038555999999999813e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.080636000000000152e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.122728000000000392e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.164819999999999744e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.206908000000000314e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.500000000000000000e+02
4.248995999999999995e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.500000000000000000e+02
4.291100000000000136e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.510000000000000000e+02
4.333192000000000377e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.520000000000000000e+02
4.375303999999999860e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.500000000000000000e+02
4.417375999999999969e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.510000000000000000e+02
4.459468000000000210e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.501547999999999661e+00;1.010179992675781250e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.543648000000000131e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.470000000000000000e+02
4.585744000000000042e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.627836000000000283e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.500000000000000000e+02
4.669932000000000194e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.712028000000000105e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.480000000000000000e+02
4.754127999999999687e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.510000000000000000e+02
4.796236000000000388e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.530000000000000000e+02
4.838327999999999740e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.510000000000000000e+02
4.880411999999999750e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.922515999999999892e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.490000000000000000e+02
4.964616000000000362e+00;1.010190002441406250e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.006712000000000273e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.048820000000000086e+00;1.010239990234375000e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.090915999999999997e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.133008000000000237e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.175116000000000049e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.217223999999999862e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.520000000000000000e+02
5.259304000000000201e+00;1.010179992675781250e+03;2.639999961853027344e+01;1.510000000000000000e+02
5.301403999999999783e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.343496000000000024e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.385591999999999935e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.500000000000000000e+02
5.427699999999999747e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.469807999999999559e+00;1.010200012207031250e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.511887999999999899e+00;1.010270019531250000e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.553995999999999711e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.480000000000000000e+02
5.596084000000000280e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.490000000000000000e+02
5.638175999999999632e+00;1.010229980468750000e+03;2.639999961853027344e+01;1.510000000000000000e+02
5.680272000000000432e+00;1.010219970703125000e+03;2.639999961853027344e+01;1.510000000000000000e+02
5.722368000000000343e+00;1.010280029296875000e+03;2.639999961853027344e+01;1.530000000000000000e+02
5.764471999999999596e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.480000000000000000e+02
5.806572000000000067e+00;1.010260009765625000e+03;2.639999961853027344e+01;1.480000000000000000e+02
5.848671999999999649e+00;1.010250000000000000e+03;2.639999961853027344e+01;1.480000000000000000e+02
